MAKE,year,Mileage,engine cc,selling_price
MAHINDRA,2011,19.2,1461,180000
HONDA,2015,26,1498,650000
HONDA,2011,16,1198,350000
MARUTI,2015,23.95,998,265000
RENAULT,2018,23.01,999,330000
MARUTI,2019,15.37,1196,395000
MAHINDRA,2015,18.49,1493,700000
FORD,2012,20,1399,300000
TOYOTA,2011,12.8,2494,650000
MARUTI,2013,20.77,1248,625000
VOLKSWAGEN,2014,15.11,1598,425000
MARUTI,2004,16.1,796,55000
TATA,2015,19.09,1405,250000
MAHINDRA,2015,15.96,2523,459999
TOYOTA,2017,21.43,1364,1594000
CHEVROLET,2014,18.2,1199,300000
FORD,2018,22.77,1498,950000
MAHINDRA,2013,12.05,2179,484999
MAHINDRA,2009,14,2498,161000
HYUNDAI,2015,17.19,1197,500000
NISSAN,2012,16.95,1498,350000
MARUTI,2017,20.89,1197,550000
HONDA,2018,17.5,1199,850000
MARUTI,2016,22.74,796,240000
FORD,2011,13.1,2499,950000
MARUTI,2015,16.02,1373,423000
TATA,2005,12.8,1396,90000
TATA,2011,13.93,2179,350000
MARUTI,2011,19,998,170000
FORD,2015,18.16,1196,450000
HYUNDAI,2009,20.36,1197,150000
HYUNDAI,2016,22.54,1396,511000
MARUTI,2018,24.2,1498,850000
TATA,2018,25,1396,250000
MARUTI,2020,21.63,998,420000
MARUTI,2014,22.74,796,180000
MARUTI,2015,27.62,793,400000
MAHINDRA,2009,14,2498,150000
FORD,2016,25.83,1498,500000
JEEP,2017,17.1,1956,1689999
NISSAN,2012,23.08,1461,204999
MARUTI,2014,26.21,1248,459999
HYUNDAI,2017,18.6,1197,600000
HYUNDAI,2019,18.9,1197,585000
FORD,2012,13.1,2499,551000
MARUTI,2013,23.4,1248,525000
MARUTI,2012,14,796,160000
MAHINDRA,2014,15.1,2179,825000
CHEVROLET,2015,13.58,2499,600000
MARUTI,2002,17.3,993,65000
MARUTI,2013,23.4,1248,550000
MAHINDRA,2015,15.96,2523,650000
MARUTI,2019,28.4,1248,750000
MAHINDRA,2017,25.32,1198,380000
HYUNDAI,2012,22.32,1582,400000
MARUTI,2003,18.9,998,50000
MAHINDRA,2017,18.49,1493,750000
CHEVROLET,2011,18,995,150000
MARUTI,2016,22.74,796,245000
TATA,2013,21.02,1248,260000
VOLKSWAGEN,2014,21.21,1498,411000
HYUNDAI,2014,21.9,1396,450000
BMW,2012,18.88,1995,1300000
MARUTI,2016,23.1,998,351000
MAHINDRA,2012,15.1,2179,550000
BMW,2013,18.88,1995,1300000
TATA,2013,21.02,1248,260000
VOLKSWAGEN,2014,21.21,1498,411000
HYUNDAI,2014,21.9,1396,450000
BMW,2012,18.88,1995,1300000
MARUTI,2016,23.1,998,351000
MAHINDRA,2012,15.1,2179,550000
BMW,2013,18.88,1995,1300000
NISSAN,2016,20.45,1461,750000
NISSAN,2015,20.45,1461,800000
TATA,2011,11.57,2179,350000
MARUTI,2013,22.74,796,200000
TATA,2008,17,1405,150000
NISSAN,2016,19.01,1461,800000
HYUNDAI,2017,21.1,814,350000
TATA,2011,13.93,2179,350000
MAHINDRA,2006,12.7,2609,250000
TATA,2010,17,1405,170000
RENAULT,2018,25.17,799,395000
MAHINDRA,2012,15.96,2523,450000
MARUTI,2019,20.89,1197,500000
TATA,2012,12.2,1948,200000
TATA,2017,17.6,2179,1200000
MAHINDRA,2016,25.32,1198,400000
MAHINDRA,2016,18.49,1493,650000
MAHINDRA,2016,15.96,2523,550000
MAHINDRA,2015,16,2179,1100000
MARUTI,2012,22.74,796,254999
MARUTI,2011,19.7,796,180000
MAHINDRA,2010,13,2489,160000
CHEVROLET,2008,16.52,1991,225000
MARUTI,2015,22.74,796,270000
TATA,2012,21.12,1248,310000
DATSUN,2015,20.63,1198,225000
FIAT,2015,21.2,1248,300000
MARUTI,2008,17.5,1298,250000
HYUNDAI,2011,21.1,814,180000
MARUTI,2015,20.85,1197,550000
MAHINDRA,2007,13.6,2523,300000
HYUNDAI,2015,22.7,1582,900000
MAHINDRA,2018,16,2179,1530000
MARUTI,2015,27.39,1248,590000
AUDI,2017,20.38,1968,2600000
MARUTI,2016,23.2,1248,475000
HYUNDAI,2018,24,1186,700000
MARUTI,2011,18.9,998,376000
MARUTI,2004,16.1,796,75000
MAHINDRA,2012,11.79,2179,440000
MARUTI,2016,20.51,998,390000
TOYOTA,2012,12.8,2494,725000
MAHINDRA,2012,15.96,2523,325000
MARUTI,2010,19.7,796,170000
MARUTI,2010,19.3,1248,215000
HONDA,2010,17,1497,350000
CHEVROLET,2009,18,995,80000
HYUNDAI,2012,21.1,814,195000
NISSAN,2014,21.64,1461,335000
MAHINDRA,2011,16,2179,475000
RENAULT,2015,19.87,1461,484999
MARUTI,2018,21.56,1462,650000
AUDI,2014,13.22,2967,1850000
HYUNDAI,2018,18.6,1197,700000
AUDI,2014,12.07,2967,3000000
MAHINDRA,2018,15.4,2523,900000
VOLKSWAGEN,2013,22.07,1199,350000
HONDA,2005,9,2997,285000
AUDI,2012,12.07,2967,1850000
MARUTI,2017,24.3,1248,750000
LANDROVE,2013,0,2179,1650000
HONDA,2018,19.5,1199,600000
VOLKSWAGEN,2018,18.78,999,565000
DAEWOO,2000,18.5,796,86000
DATSUN,2016,20.63,1198,329000
FORD,2016,22.77,1498,650000
HYUNDAI,2015,19.67,1582,822000
RENAULT,2013,19.01,1461,345000
MARUTI,2001,17.3,993,30000
MARUTI,2012,22.9,1248,330000
MARUTI,2014,20.51,998,300000
MARUTI,2009,12.6,1586,200000
CHEVROLET,2010,18,995,90000
MARUTI,2010,18.9,1061,200000
HYUNDAI,2016,24.4,1120,550000
CHEVROLET,2015,18.6,1199,250000
HONDA,2017,25.6,1498,975000
TOYOTA,2014,12.99,2494,900000
HYUNDAI,2018,18.6,1197,610000
MARUTI,2017,27.39,1248,620000
HYUNDAI,2016,18.9,1197,400000
MARUTI,2019,21.63,998,500000
DATSUN,2017,19.02,1198,200000
TATA,2016,23,1248,360000
MARUTI,2012,20.92,998,252000
MARUTI,2012,22.9,1248,280000
MARUTI,2018,22,1197,509999
MAHINDRA,2016,15.4,1997,1050000
MARUTI,2005,17.3,993,60000
MAHINDRA,2010,14,2498,320000
MAHINDRA,2013,12.05,2179,520000
TATA,2007,11.57,2179,250000
MARUTI,2017,24.3,1248,725000
MAHINDRA,2015,15.96,2523,585000
TATA,2017,23.84,1199,430000
MARUTI,2011,22.9,1248,235000
MARUTI,2012,19.3,1248,350000
HYUNDAI,2010,19.81,1086,131000
HONDA,2016,25.8,1498,450000
MARUTI,2016,24.3,1248,750000
MARUTI,2013,22.74,796,200000
MARUTI,2009,18.9,1061,125000
MAHINDRA,2014,15.96,2523,500000
MARUTI,2012,22.9,1248,380000
MARUTI,2008,19.7,796,128000
HONDA,2009,17,1497,250000
MAHINDRA,2017,16.5,1493,690000
MAHINDRA,2014,15.96,2523,650000
HONDA,2012,16.8,1497,560000
MARUTI,2016,23.1,998,400000
MARUTI,2012,20.92,998,200000
HYUNDAI,2018,17,1591,950000
MARUTI,2016,22.74,796,300000
RENAULT,2016,25.17,799,315000
MARUTI,2012,22.74,796,220000
CHEVROLET,2011,14.49,1399,130000
HYUNDAI,2016,22.54,1396,595000
TATA,2011,19.4,1405,110000
FORD,2017,17,1497,680000
FIAT,2013,20.3,1248,280000
MARUTI,2017,21.4,1197,530000
HYUNDAI,2017,19.1,1197,610000
TATA,2014,15.05,2179,500000
TATA,2018,24.7,1047,500000
MAHINDRA,2010,13,2489,250000
HYUNDAI,2018,21.1,814,325000
MARUTI,2018,21.4,1197,550000
MARUTI,2018,20.73,1373,720000
HYUNDAI,2017,17,1591,950000
MARUTI,2013,22.9,1248,350000
HYUNDAI,2018,18.9,1197,500000
MARUTI,2012,19.3,1248,380000
HYUNDAI,2015,16.9,1197,380000
HYUNDAI,2017,17,1591,900000
MARUTI,2017,24.7,796,295000
MARUTI,2016,28.09,1248,640000
TATA,2018,21.5,1497,790000
HYUNDAI,2015,17.01,1591,625000
FORD,2017,17,1497,604000
MARUTI,2015,23.95,998,315000
MAHINDRA,2019,20,1497,950000
MARUTI,2017,20.51,998,400000
HYUNDAI,2018,18.6,1368,700000
TOYOTA,2011,12.8,2494,700000
MAHINDRA,2012,21.03,1461,260000
TATA,2012,23.57,1396,200000
MARUTI,2020,23.26,1197,580000
VOLKSWAGEN,2011,20.5,1598,330000
HYUNDAI,2011,16.2,1493,400000
HYUNDAI,2018,14.8,1591,1350000
MAHINDRA,2014,21.03,1461,250000
SKODA,2019,15.41,1598,725000
MARUTI,2013,23.4,1248,300000
MARUTI,2006,16.1,796,120000
MAHINDRA,2016,16,2179,1175000
TATA,2009,13.93,2179,380000
TATA,2014,19.1,1405,400000
TATA,2005,16.1,1405,140000
TATA,2011,11.57,2179,229999
FORD,2003,13.8,1299,110000
VOLKSWAGEN,2011,16.96,1968,550000
CHEVROLET,2008,15.26,1150,150000
MARUTI,2017,16.8,796,265000
HYUNDAI,2011,17,1197,300000
MARUTI,2015,22.74,796,280000
HYUNDAI,2005,15.3,1341,130000
CHEVROLET,2015,18.2,1199,350000
MARUTI,2009,18.5,1197,200000
MARUTI,2018,22,1197,550000
MAHINDRA,2013,15.96,2523,400000
MARUTI,2010,18.5,1197,170000
HYUNDAI,2015,24.8,1396,600000
MARUTI,2011,19.7,796,130000
MARUTI,2011,16.1,796,100000
RENAULT,2016,25.17,799,310000
MARUTI,2007,16.1,796,35000
HYUNDAI,2010,18.5,1197,200000
HYUNDAI,2015,22.54,1396,650000
TATA,2013,15.64,1193,210000
HYUNDAI,2015,24.4,1120,509999
FORD,2013,20,1399,229999
RENAULT,2014,19.01,1461,409999
CHEVROLET,2011,18,995,130000
TATA,2013,25.4,624,95000
MARUTI,2016,22.74,796,225000
MARUTI,2017,24.3,1248,775000
MARUTI,2017,20.51,998,420000
HYUNDAI,2016,18.9,1197,480000
MAHINDRA,2010,13.6,2523,260000
VOLKSWAGEN,2018,16.2,1199,600000
FORD,2009,13.8,1399,140000
MARUTI,2010,19.7,796,130000
MARUTI,2007,25.2,1248,195000
TATA,2013,19.4,1405,210000
MARUTI,2006,18.9,998,130000
CHEVROLET,2012,18.6,1199,141000
MAHINDRA,2011,13.6,2523,280000
MARUTI,2010,12.6,1586,350000
TATA,2018,17,1198,575000
HYUNDAI,2015,18.6,1197,550000
MARUTI,2006,19.7,796,120000
MARUTI,2015,23.95,998,320000
HYUNDAI,2011,16.36,1495,250000
MARUTI,2010,15,1586,300000
MARUTI,2006,18.9,998,250000
MAHINDRA,2018,16.5,1493,750000
MAHINDRA,2005,10.5,2179,151000
TATA,2011,13.93,2179,300000
MARUTI,2019,20.89,1197,577000
MARUTI,2012,20.92,998,229999
MAHINDRA,2013,15.96,2523,500000
HONDA,2019,18.2,1199,840000
VOLKSWAGEN,2017,22.27,1498,900000
HONDA,2017,18.7,1199,650000
HONDA,2016,27.3,1498,650000
HYUNDAI,2016,21.1,814,250000
VOLKSWAGEN,2016,20.14,1498,550000
MARUTI,2007,17.8,1248,250000
MAHINDRA,2013,17.21,1493,350000
CHEVROLET,2014,25.44,936,185000
FORD,2010,15.6,1196,229999
TOYOTA,2016,12.99,2494,1000000
MARUTI,2019,20.52,1197,490000
HYUNDAI,2009,20.36,1197,150000
MARUTI,2013,20.77,1248,600000
MARUTI,2005,17.3,993,60000
MARUTI,2008,15.6,1586,150000
HONDA,2014,19.4,1198,335000
MARUTI,2013,22.9,1248,525000
HYUNDAI,2015,18.9,1197,465000
TATA,2012,25,1396,83000
HYUNDAI,2017,21.1,814,300000
HYUNDAI,2012,17,1197,350000
HYUNDAI,2011,17,1197,300000
FIAT,2011,20.4,1248,250000
MARUTI,2006,16.1,796,114999
MARUTI,2018,19.34,1462,700000
MARUTI,2020,21.63,998,250000
MARUTI,2016,20.51,998,350000
MARUTI,1998,14,796,80000
MAHINDRA,2017,15.4,2523,850000
CHEVROLET,2007,18,995,90000
CHEVROLET,2014,13.58,2499,600000
MARUTI,2007,19.7,796,135000
HYUNDAI,2005,13.2,1495,150000
TATA,2012,23.03,1396,259000
TATA,2012,23.03,1396,220000
TATA,2012,23.03,1396,246000
MARUTI,2009,17.5,1298,240000
HYUNDAI,2018,22.1,1396,946000
TATA,2011,23.03,1396,215000
MARUTI,1999,17.3,993,50000
HONDA,2013,25.8,1498,310000
HYUNDAI,2008,20.36,1197,220000
MARUTI,2008,17.8,1248,195000
HYUNDAI,2015,17.19,1197,650000
HYUNDAI,2011,18.5,1197,350000
HYUNDAI,2013,18.5,1197,360000
HYUNDAI,2013,16.3,1797,550000
HYUNDAI,2016,18.9,1197,490000
MARUTI,2011,19.7,796,195000
MARUTI,2010,19.7,796,125000
TATA,2019,23.84,1199,459999
MARUTI,2015,22.74,796,275000
MARUTI,2018,28.4,1248,680000
MARUTI,2015,20.85,1197,600000
MARUTI,2018,22,1197,720000
RENAULT,2016,25.17,799,356000
HYUNDAI,2011,19.81,1086,225000
FORD,2019,24.4,1498,725000
CHEVROLET,2010,18,995,130000
RENAULT,2015,25.17,799,300000
HYUNDAI,2013,18.5,1197,400000
HYUNDAI,2013,23.5,1396,550000
MARUTI,2006,18.9,998,120000
MAHINDRA,2012,14,2498,409999
HYUNDAI,2010,0,1086,110000
MAHINDRA,2012,15.96,2523,450000
MARUTI,2019,21.21,1197,610000
FORD,2016,22.7,1498,515000
FORD,2018,22.77,1498,925000
NISSAN,2019,14.23,1498,860000
FORD,2012,20,1399,225000
FORD,2017,25.83,1498,500000
MARUTI,2017,21.21,1197,600000
FORD,2012,18.5,1399,195000
MARUTI,2012,18.9,998,265000
FORD,2018,23.8,1499,650000
FORD,2015,25.83,1498,415000
RENAULT,2015,20.45,1461,600000
MARUTI,2013,18.5,1197,340000
HYUNDAI,2014,24,1120,350000
MARUTI,2012,23.2,1248,265000
TATA,2017,13.93,2179,625000
HYUNDAI,2008,16.8,1493,245000
MARUTI,2014,25.2,1248,395000
HYUNDAI,2014,24.4,1120,490000
MARUTI,2018,24.52,1248,955000
MARUTI,2013,23.4,1248,525000
TATA,2017,20.3,1199,550000
TATA,2014,19.1,1405,200000
FORD,2017,18.16,1196,500000
MARUTI,2016,23.65,1248,825000
MAHINDRA,2012,17.21,1493,250000
TOYOTA,2015,18.16,1197,600000
MAHINDRA,2018,16.36,2179,1325000
MAHINDRA,2016,18.49,1493,770000
CHEVROLET,2011,16.52,1991,415000
HYUNDAI,2011,14.66,2199,825000
FORD,2018,26.1,1498,530000
TOYOTA,2006,12.8,2494,425000
HONDA,2012,19.4,1198,310000
TATA,2017,23.84,1199,390000
HYUNDAI,2016,15.29,1591,700000
HYUNDAI,2010,19.81,1086,200000
TOYOTA,2013,12.99,2494,1050000
HONDA,2014,26,1498,580000
HYUNDAI,2014,21.1,814,200000
CHEVROLET,2013,18.2,1199,245000
HYUNDAI,2010,20.36,1197,210000
MARUTI,2005,15.4,1590,50000
CHEVROLET,2012,12.12,2231,700000
TATA,2019,22.95,1248,660000
HONDA,2015,17.4,1497,630000
MAHINDRA,2012,15.1,2179,950000
HYUNDAI,2018,18.6,1197,740000
FORD,2017,18.12,1196,570000
HYUNDAI,2012,22.32,1582,450000
DATSUN,2019,22.5,999,390000
FORD,2009,14.2,1597,180000
TATA,2015,25.4,624,130000
HONDA,2006,17.7,1497,270000
MARUTI,1997,16.1,796,60000
HYUNDAI,2006,13.9,1599,170000
HYUNDAI,2015,19.67,1582,978999
TATA,2018,23.84,1199,490000
FORD,2012,23.5,1498,280000
TATA,2018,23.84,1199,390000
MARUTI,2013,22.74,796,170000
CHEVROLET,2008,18,995,45000
MARUTI,2016,24.52,1248,640000
MAHINDRA,2015,15.4,2523,650000
MAHINDRA,2013,12.05,2179,500000
FORD,2008,17.7,1399,90000
TATA,2014,15.05,2179,480000
MARUTI,2019,21.21,1197,630000
HYUNDAI,2011,20.36,1197,250000
HYUNDAI,2016,18.9,1197,330000
HYUNDAI,2009,20.36,1197,180000
HYUNDAI,2010,18.5,1197,210000
MARUTI,2016,26.59,1248,550000
TATA,2020,17,1198,950000
MAHINDRA,2013,15.96,2523,430000
HYUNDAI,2014,20.36,1197,348000
MARUTI,2014,22.74,796,196000
MARUTI,2010,18.9,1061,150000
MARUTI,2009,18.9,1061,150000
TATA,2019,14.1,2179,1250000
MARUTI,2015,20.77,1248,600000
TATA,2010,25.4,624,65000
MARUTI,2016,16.8,796,220000
MARUTI,2016,16.8,796,220000
TATA,2006,16.84,1193,110000
CHEVROLET,2012,25.44,936,175000
CHEVROLET,2011,16.2,995,160000
MARUTI,2004,16.1,796,65000
MARUTI,2002,16.1,796,60000
MARUTI,2007,19.7,796,120000
MAHINDRA,2013,11.18,2696,1000000
MARUTI,2010,18.9,998,220000
MARUTI,2008,14,796,114999
MAHINDRA,2016,16,2179,850000
MARUTI,2016,24.52,1248,750000
RENAULT,2017,23.01,999,265000
FORD,2014,14.09,1596,450000
MAHINDRA,2013,17.21,1493,225000
MAHINDRA,2015,15.4,2179,1125000
MARUTI,2009,16.6,1197,270000
MARUTI,2007,19.7,796,130000
MAHINDRA,2017,16.5,1493,660000
MARUTI,2015,23.95,998,240000
MARUTI,2017,24.7,796,275000
TOYOTA,2012,12.8,2494,750000
CHEVROLET,2007,14.7,1150,65000
TATA,2017,14.1,2179,850000
HYUNDAI,2018,18.6,1197,555000
MAHINDRA,2015,15.4,1997,825000
MARUTI,2009,19.3,1248,185000
HYUNDAI,2010,20.36,1197,180000
MARUTI,2010,19.7,796,160000
FORD,2012,11.4,2953,500000
MARUTI,2014,25.2,1248,375000
TOYOTA,2015,12.99,2494,900000
HYUNDAI,2017,18.9,1197,459999
RENAULT,2014,20.45,1461,480000
MARUTI,2013,22.9,1248,320000
MARUTI,2013,22.9,1248,370000
MARUTI,2002,17.3,993,75000
MARUTI,2016,23.2,1248,400000
MARUTI,2014,25.2,1248,425000
MARUTI,2014,23.1,998,325000
HYUNDAI,2016,18.9,1197,350000
HYUNDAI,2018,18.6,1197,600000
CHEVROLET,2012,25.44,936,120000
MARUTI,2012,20.92,998,200000
MARUTI,2008,19.7,796,100000
HYUNDAI,2014,24,1120,350000
MARUTI,2006,19.7,796,85000
MARUTI,2019,23.95,998,399000
HYUNDAI,2014,22.32,1582,580000
DATSUN,2017,22.7,799,290000
HYUNDAI,2014,18.9,1197,380000
FORD,2010,20,1399,200000
HYUNDAI,2017,18.9,1197,500000
MARUTI,2012,20.77,1248,520000
MARUTI,2017,26.59,1248,650000
RENAULT,2018,23.01,999,380000
MARUTI,2015,26.59,1248,520000
MARUTI,2015,26.59,1248,610000
MARUTI,2004,18.9,998,85000
RENAULT,2013,20.46,1461,490000
HYUNDAI,2015,21.1,814,229999
HYUNDAI,2015,18.9,1197,411000
TOYOTA,2014,23.59,1364,550000
MARUTI,2011,18.5,1197,190000
HYUNDAI,2019,20.3,1086,499000
MARUTI,2018,15.37,1196,358000
TOYOTA,2012,23.59,1364,278000
FIAT,2014,21.2,1248,320000
RENAULT,2013,20.4,1461,580000
HONDA,2019,17.4,1497,1300000
HONDA,2018,25.8,1498,825000
TOYOTA,2004,13.4,1794,170000
TOYOTA,2014,12.55,2982,1700000
HYUNDAI,2018,20.3,1086,490000
MAHINDRA,2018,16,2179,1050000
CHEVROLET,2016,18.6,1199,210000
MAHINDRA,2016,15.4,2179,1250000
MARUTI,2012,22.9,1248,320000
CHEVROLET,2012,16.52,1991,400000
MARUTI,2013,23.2,1248,320000
TOYOTA,2012,21.43,1364,600000
MARUTI,2012,20.92,998,275000
MARUTI,2009,19.7,796,170000
CHEVROLET,2012,25.44,936,155000
RENAULT,2015,20.45,1461,620000
HYUNDAI,2017,18.9,1197,530000
TOYOTA,2015,23.59,1364,550000
HONDA,2014,26,1498,600000
MAHINDRA,2014,15.1,2179,649000
HONDA,2014,26,1498,625000
CHEVROLET,2010,16,995,125000
CHEVROLET,2009,13.58,2499,305000
MARUTI,2010,15.5,1586,285000
TATA,2015,13.49,2179,600000
MAHINDRA,2016,18.15,1198,426000
TATA,2010,17,1405,180000
HYUNDAI,2011,22.32,1582,400000
CHEVROLET,2010,18.6,1199,120000
TATA,2012,21.12,1248,300000
MARUTI,2011,20.92,998,190000
MARUTI,2017,24.7,796,310000
RENAULT,2019,25.17,799,380000
MAHINDRA,2019,16.5,1493,740000
DATSUN,2016,22.7,799,260000
MARUTI,2017,23.95,998,320000
MARUTI,2018,22,1197,650000
MARUTI,2017,28.4,1248,651000
MARUTI,2019,23.95,998,380000
CHEVROLET,2014,25.44,936,160000
HYUNDAI,2019,17,1591,1270000
MARUTI,2015,25.2,1248,405000
MAHINDRA,2015,15.1,2179,850000
MAHINDRA,2017,16.5,1493,680000
HYUNDAI,2014,19.1,1197,426999
HYUNDAI,2015,24.8,1396,525000
TOYOTA,2014,12.99,2494,1019999
TOYOTA,2005,12.8,2494,245000
HYUNDAI,2015,22.7,1582,869999
MARUTI,2016,24.3,1248,700000
NISSAN,2012,21.64,1461,300000
HONDA,2007,12.9,1799,175000
TOYOTA,2012,12.8,2494,960000
MAHINDRA,2014,16.55,2498,525000
HYUNDAI,2015,24,1120,345000
HONDA,2015,18,1198,390000
DATSUN,2015,20.63,1198,275000
CHEVROLET,2014,18.2,1199,310000
HYUNDAI,2017,18.9,1197,500000
CHEVROLET,2013,22.1,1248,200000
VOLKSWAGEN,2018,20.14,1498,650000
HONDA,2018,25.6,1498,1031000
HYUNDAI,2018,20.3,998,330000
HYUNDAI,2019,20.3,1086,399000
HYUNDAI,2012,20.36,1197,250000
HYUNDAI,2017,24,1186,600000
MARUTI,2013,22.9,1248,375000
VOLKSWAGEN,2012,20.54,1598,375000
HYUNDAI,2013,22.32,1582,445000
MARUTI,2003,18.9,998,55000
HYUNDAI,2016,22.54,1396,611000
HYUNDAI,2014,24.8,1396,459999
FORD,2011,17.8,1399,275000
HYUNDAI,2012,22.32,1582,390000
CHEVROLET,2007,18,995,72000
TATA,2007,17.88,1396,90000
TOYOTA,2015,23.59,1364,500000
MAHINDRA,2019,15.1,2179,1575000
HYUNDAI,2015,18.9,1197,511000
FIAT,2009,14.6,1368,150000
TOYOTA,2020,10.75,2694,1500000
MARUTI,2013,22.74,796,185000
MARUTI,2018,21.4,1197,550000
MARUTI,2017,23.95,998,325000
MARUTI,2015,26.59,1248,525000
FORCE,2018,17,2200,1050000
TATA,2012,25,1396,300000
CHEVROLET,2011,18.6,1199,120000
JAGUAR,2017,13.6,1999,2625000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
TATA,2015,14.1,2179,503000
VOLVO,2019,18,1969,3800000
TOYOTA,2016,19.16,2494,2000000
MARUTI,2013,21.79,998,225000
MARUTI,2018,27.39,1248,740000
HONDA,2016,18.2,1199,550000
TOYOTA,2013,12.99,2494,750000
MARUTI,2019,22,1197,650000
TOYOTA,2017,16.78,1496,625000
MARUTI,2018,22,1197,600000
HYUNDAI,2017,24,1186,450000
BMW,2019,16.78,1995,5400000
BMW,2019,16.78,1995,5500000
HONDA,2019,19,1199,779000
SKODA,2016,14.3,1598,645000
VOLVO,2018,16.8,1984,2475000
HYUNDAI,2011,17.92,1086,170000
TATA,2010,23.03,1396,320000
MARUTI,2016,23.1,998,350000
MARUTI,2018,22,1197,500000
TATA,2009,17,1405,135000
RENAULT,2018,25.17,799,340000
HYUNDAI,2020,18.9,1197,330000
MARUTI,2011,15.5,1586,350000
TOYOTA,2015,12.55,2982,1850000
HYUNDAI,2016,24.4,1120,400000
FORD,2014,17.8,1399,325000
MAHINDRA,2015,15.4,1997,1000000
MAHINDRA,2017,15.4,2523,850000
MARUTI,2012,21.5,1248,350000
JAGUAR,2017,13.6,1999,2625000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
TATA,2015,14.1,2179,503000
VOLVO,2019,18,1969,3800000
TOYOTA,2016,19.16,2494,2000000
MARUTI,2013,21.79,998,225000
MARUTI,2018,27.39,1248,740000
HONDA,2016,18.2,1199,550000
TOYOTA,2013,12.99,2494,750000
MARUTI,2019,22,1197,650000
TOYOTA,2017,16.78,1496,625000
MARUTI,2018,22,1197,600000
HYUNDAI,2017,24,1186,450000
BMW,2019,16.78,1995,5400000
BMW,2019,16.78,1995,5500000
HONDA,2019,19,1199,779000
SKODA,2016,14.3,1598,645000
VOLVO,2018,16.8,1984,2475000
HONDA,2015,24.5,1498,550000
TATA,2015,14,2179,925000
MAHINDRA,2010,11.79,2179,509999
MAHINDRA,2011,13,2489,250000
HYUNDAI,2015,17.19,1197,500000
HYUNDAI,2019,21.38,1396,1050000
MARUTI,2014,23.4,1248,490000
MARUTI,2020,15.37,1196,415000
MARUTI,2013,22.74,796,190000
MARUTI,2018,28.4,1248,680000
MARUTI,2013,22.74,796,190000
MAHINDRA,2013,12.05,2179,479000
MARUTI,2016,22.74,796,270000
HYUNDAI,2008,19.81,1086,170000
MARUTI,2018,20.73,1373,764000
MAHINDRA,2019,15.96,2523,710000
MARUTI,2017,24.7,796,310000
MAHINDRA,2017,16.5,1493,620000
HYUNDAI,2017,21.1,814,280000
TOYOTA,2015,12.55,2982,1500000
HYUNDAI,2016,18.9,1197,450000
MERCEDES,2017,17.9,2143,2199000
MERCEDES,2013,11.74,2987,3600000
FORD,2008,15.3,1596,285000
TOYOTA,2007,12.8,2494,465000
BMW,2009,16.07,1995,1100000
VOLKSWAGEN,2011,20.54,1598,350000
MARUTI,2017,17.5,1373,600000
MARUTI,2017,21.4,1197,570000
MARUTI,2016,23.95,998,325000
MAHINDRA,2016,16,1997,975000
HYUNDAI,2015,18.6,1197,480000
MARUTI,2014,22.74,796,185000
HYUNDAI,2015,17.01,1582,1050000
MARUTI,2019,21.01,1197,760000
VOLKSWAGEN,2019,18.78,999,570000
MARUTI,2018,21.4,1197,700000
FORD,2015,15.63,1499,775000
BMW,2007,14.49,2993,750000
CHEVROLET,2010,18,995,140000
MARUTI,2016,22.74,796,220000
HYUNDAI,2013,0,1086,184000
HYUNDAI,2017,18.6,1197,440000
HYUNDAI,2017,21.19,1396,650000
MAHINDRA,2017,18.49,1493,660000
TOYOTA,2012,21.43,1364,415000
HYUNDAI,2012,19.81,1086,225000
MARUTI,2013,20.77,1248,600000
MARUTI,2014,20.77,1248,620000
MAHINDRA,2016,18.49,1493,750000
HYUNDAI,2016,18.9,1197,400000
MARUTI,2005,18.9,998,110000
TATA,2012,19.4,1405,119000
HONDA,2015,25.8,1498,600000
TATA,2014,23,1248,280000
SKODA,2013,15,1598,375000
DATSUN,2016,19.44,1198,350000
HYUNDAI,2017,25.4,1186,620000
MARUTI,2017,26.59,1248,570000
MARUTI,2012,19.3,1248,290000
MARUTI,2016,24.52,1248,711000
MARUTI,2012,22.9,1248,370000
MARUTI,2020,23.26,1197,550000
MARUTI,2013,18.6,1197,325000
HONDA,2018,27.4,1498,670000
HYUNDAI,2017,19.81,1086,385000
HYUNDAI,2008,17.92,1086,114999
HYUNDAI,2010,17.92,1086,200000
MARUTI,2019,24.3,1248,860000
MARUTI,2018,27.39,1248,600000
MARUTI,2016,23.95,998,265000
MARUTI,2019,25.1,1248,900000
MARUTI,2013,20.77,1248,650000
MARUTI,2004,16.1,796,70000
MARUTI,2012,22.74,796,180000
HYUNDAI,2013,21.1,814,200000
HYUNDAI,2014,19.81,1086,300000
HYUNDAI,2015,17.01,1591,650000
MARUTI,2014,22.74,796,267000
HYUNDAI,2014,18.9,1197,400000
MAHINDRA,2012,14,2498,310000
TATA,2009,26,624,70000
MAHINDRA,2017,15.96,2523,675000
FORD,2013,14.09,1596,350000
MARUTI,2014,23.95,998,240000
TATA,2014,19.09,1405,185000
HYUNDAI,2017,21.1,814,250000
MARUTI,2009,19.7,796,135000
HYUNDAI,2011,22.32,1582,500000
