MAKE,year,selling_price,engine cc,Mileage
HYUNDAI,2017,520000,1197,19.1
MAHINDRA ,2012,450000,2179,12.05
TATA,2017,850000,2179,14.1
RENAULT ,2017,350000,799,25.17
MAHINDRA ,2011,450000,2489,13
HYUNDAI,2008,165000,1086,19.81
HYUNDAI,2010,160000,1086,17.92
TATA,2011,300000,2179,13.93
MAHINDRA ,2012,550000,2179,12.05
MARUTI ,2015,285000,998,23.95
HYUNDAI,2016,850000,1582,19.67
FORD,2018,700000,1194,19
MARUTI ,2018,900000,1462,19.34
MARUTI ,2005,180000,796,19.7
HYUNDAI,2016,220000,814,21.1
TATA,2013,120000,1248,22.3
HYUNDAI,2010,220000,1197,17
CHEVROLET ,2013,420000,1248,22.1
TATA,2013,160000,1405,19.4
HYUNDAI,2015,250000,814,21.1
MARUTI ,2013,385000,1248,20.77
MARUTI ,2014,318000,998,20.51
HYUNDAI,2018,480000,1197,20.14
MARUTI ,2015,330000,998,23.1
TATA,2011,152000,1405,17
MARUTI ,2014,250000,796,22.74
TATA,2011,248000,1405,17
NISSAN ,2011,300000,1198,18.06
HYUNDAI,2017,550000,1197,18.6
HYUNDAI,2016,650000,1396,22.54
HYUNDAI,2017,445000,1197,18.9
TOYOTA ,2010,450000,2494,12.8
MAHINDRA ,2016,600000,1493,17.45
RENAULT ,2014,495000,1461,19.01
MARUTI ,2011,220000,1586,12.6
MARUTI ,2011,260000,1586,12.6
HYUNDAI,2009,150000,1086,17.92
FORD,2011,200000,1399,20
MAHINDRA ,2018,1465000,2179,16.36
HONDA ,2008,250000,1339,20
MAHINDRA ,2014,310000,2489,14.95
MAHINDRA ,2010,600000,2179,11.79
MARUTI ,2018,560000,1197,21.4
MARUTI ,2016,500000,1197,20.85
HYUNDAI,2013,270000,1120,24
HYUNDAI,2013,420000,1582,22.32
MARUTI ,2015,434999,1197,20.85
HYUNDAI,2015,400000,1197,16.9
MARUTI ,2015,470000,1248,26.59
NISSAN ,2015,480000,1461,20.45
HYUNDAI,2008,105000,1086,0
TATA,2017,325000,1047,27.28
HYUNDAI,2020,675000,1197,20.7
HYUNDAI,2009,170000,1197,20.36
HYUNDAI,2017,1250000,1582,19.67
HONDA ,2012,600000,2354,12.8
HONDA ,2014,819999,1498,25.1
HYUNDAI,2016,650000,1197,18.6
MAHINDRA ,2009,200000,1461,17
TATA,2013,200000,1396,19.09
MARUTI ,2016,220000,796,16.8
VOLKSWAGEN,2014,500000,1598,15.04
MAHINDRA ,2007,175000,1461,19.2
TATA,2018,450000,1199,23.84
CHEVROLET ,2008,210000,1991,16.52
MARUTI ,2011,270000,1248,21.1
TATA,2006,110000,1405,16.8
MARUTI ,2015,480000,1248,26.59
MARUTI ,2016,650000,1248,26.59
MARUTI ,2013,480000,1248,23.4
HYUNDAI,2016,700000,1396,22.54
MARUTI ,2015,650000,1248,20.77
HYUNDAI,2015,1300000,1582,19.67
VOLKSWAGEN,2016,1350000,1968,16.96
VOLKSWAGEN,2016,1000000,1498,22.15
MERCEDES,2011,1700000,2987,0
TOYOTA ,2018,1080000,1496,17.8
HYUNDAI,2012,170000,814,21.1
MARUTI ,2017,610000,1248,28.4
MARUTI ,2014,350000,1197,18.5
MARUTI ,2016,260000,796,22.74
FIAT,2015,700000,1248,20.4
VOLKSWAGEN,2018,678000,999,18.78
MARUTI ,2015,800000,1248,23.65
TOYOTA ,2014,400000,1364,23.59
HYUNDAI,2010,300000,1197,18.5
HYUNDAI,2016,520000,1197,18.6
NISSAN ,2017,850000,1461,19.61
MAHINDRA ,2019,1460000,1497,17.3
TATA,2017,830000,1497,21.5
DATSUN ,2018,430000,1198,20.63
FORD,2017,850000,1498,22.77
MARUTI ,2017,650000,1197,20.85
HYUNDAI,2008,120000,1493,16.8
MAHINDRA ,2016,730000,1493,18.49
MARUTI ,2019,525000,1197,20.89
HYUNDAI,2015,600000,1396,21.19
MARUTI ,2019,500000,1197,21.21
HYUNDAI,2009,150000,1086,17.92
MARUTI ,2015,409999,998,20.51
MAHINDRA ,2016,625000,1493,18.49
RENAULT ,2015,290000,799,25.17
HONDA ,2015,500000,1497,17.3
HYUNDAI,2011,475000,1582,22.32
HYUNDAI,2013,190000,814,21.1
MAHINDRA ,2014,750000,2179,15.1
NISSAN ,2014,525000,1461,19.01
CHEVROLET ,2012,495000,1998,17.3
JAGUAR ,2017,2625000,1999,13.6
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
TATA,2015,503000,2179,14.1
VOLVO ,2019,3800000,1969,18
TOYOTA ,2016,2000000,2494,19.16
MARUTI ,2013,225000,998,21.79
MARUTI ,2018,740000,1248,27.39
HONDA ,2016,550000,1199,18.2
TOYOTA ,2013,750000,2494,12.99
MARUTI ,2019,650000,1197,22
TOYOTA ,2017,625000,1496,16.78
MARUTI ,2018,600000,1197,22
HYUNDAI,2017,450000,1186,24
BMW ,2019,5400000,1995,16.78
BMW ,2019,5500000,1995,16.78
HONDA ,2019,779000,1199,19
SKODA ,2016,645000,1598,14.3
VOLVO ,2018,2475000,1984,16.8
HONDA ,2010,321000,1497,16.8
TOYOTA ,2017,585000,1197,17.71
FORD,2011,225000,1399,20
HONDA ,2017,500000,1498,25.8
HYUNDAI,2011,350000,1396,23
MARUTI ,2016,756000,1248,24.52
MARUTI ,2014,240000,796,22.74
MARUTI ,2012,80000,796,19.7
HYUNDAI,2019,800000,1197,17.19
TATA,2018,1250000,2179,17.6
MAHINDRA ,2009,320000,2179,12.05
HYUNDAI,2017,509999,1197,18.9
TATA,2019,650000,1248,22.95
MARUTI ,2011,210000,998,20.92
MARUTI ,2008,110000,796,19.7
TATA,2017,665000,1497,21.5
VOLKSWAGEN,2017,555000,1498,21.66
VOLKSWAGEN,2017,560000,1498,21.66
MAHINDRA ,2016,375000,1198,25.32
TOYOTA ,2017,2950000,2755,15.04
MARUTI ,2017,605000,1248,28.4
HONDA ,2017,720000,1199,17.5
MARUTI ,2017,800000,1248,24.52
MAHINDRA ,2017,1325000,2179,16
MITSUBISHI,2011,625000,2835,10.5
HYUNDAI,2011,350000,1396,23
TOYOTA ,2012,600000,2494,12.99
HYUNDAI,2012,300000,1197,18.5
TATA,2011,240000,2179,13.93
FORD,2016,377000,1498,25.83
MARUTI ,2013,450000,1373,16.02
HYUNDAI,2008,160000,1599,13.9
HYUNDAI,2019,525000,1197,20.14
TOYOTA ,2011,550000,2494,12.8
CHEVROLET ,2010,270000,1991,18.3
TOYOTA ,2016,570000,1364,23.59
FORD,2011,225000,1399,20
HYUNDAI,2019,590000,1197,20.14
JEEP,2018,1675000,1956,17.1
FORD,2019,800000,1194,19.4
CHEVROLET ,2014,450000,1199,18.2
TATA,2012,300000,1405,17
HYUNDAI,2017,645000,1197,18.6
MARUTI ,2013,520000,1248,23.4
HYUNDAI,2013,200000,814,21.1
HONDA ,2015,700000,1497,17.4
MARUTI ,2000,45000,796,16.1
FORD,2016,459999,1498,25.83
MARUTI ,2014,325000,1248,23.2
MARUTI ,2015,350000,998,20.51
HYUNDAI,2011,440000,1582,22.32
HYUNDAI,2011,320000,1396,21.9
CHEVROLET ,2011,169000,995,18
VOLKSWAGEN,2013,350000,1198,16.47
FORD,2014,350000,1399,19.68
FORD,2013,310000,1399,20
MAHINDRA ,2010,420000,2179,13.5
MARUTI ,2015,685000,1373,19.12
RENAULT ,2014,560000,1461,19.72
MARUTI ,2013,470000,1248,22.9
HYUNDAI,2011,380000,1599,16.2
MAHINDRA ,2015,670000,1997,15.4
MARUTI ,2018,550000,1197,22
HYUNDAI,2016,749000,1591,17.01
HYUNDAI,2015,899000,1582,19.67
CHEVROLET ,2011,290000,1991,16.52
TOYOTA ,2014,869999,2494,12.99
DATSUN ,2015,350000,1198,20.62
MARUTI ,2017,500000,1197,20.85
SKODA ,2014,400000,1498,21.66
RENAULT ,2016,260000,799,25.17
MARUTI ,2015,220000,796,22.74
CHEVROLET ,2014,190000,1248,18.2
HYUNDAI,2016,400000,1197,18.9
CHEVROLET ,2014,170000,936,25.44
HYUNDAI,2019,650000,1197,18.6
MARUTI ,2007,60000,796,16.1
TATA,2007,300000,2092,12
CHEVROLET ,2012,125000,995,16.2
MAHINDRA ,2012,500000,2179,15.1
MARUTI ,2011,170000,796,19.7
MARUTI ,2012,310000,1248,19.3
CHEVROLET ,2011,130000,995,18
MARUTI ,2016,465000,998,20.51
MERCEDES,2005,800000,2987,11
MARUTI ,2012,260000,998,20.2
MAHINDRA ,2013,500000,2523,15.96
RENAULT ,2017,325000,999,23.01
MAHINDRA ,2013,400000,2523,15.96
TOYOTA ,2018,3200000,2755,14.24
TATA,2007,200000,1396,17.88
MAHINDRA ,2013,450000,1493,17.21
TATA,2012,229999,1405,17
HYUNDAI,2016,340000,814,21.1
MAHINDRA ,2014,550000,2523,15.96
FORD,2011,975000,2953,11.4
VOLVO ,2019,3800000,1969,18
VOLKSWAGEN,2010,225000,1595,14
FORD,2018,3250000,3198,10.91
TATA,2013,280000,1396,25
HONDA ,2019,700000,1199,19.5
TATA,2012,259000,1396,23.03
TOYOTA ,2018,3200000,2755,15.04
MAHINDRA ,2018,1400000,1997,16
FORD,2015,416000,1499,17.01
TATA,2011,250000,1248,19
TATA,2010,210000,1248,21.12
MAHINDRA ,2008,290000,2179,12.05
TATA,2012,220000,1396,23.03
TATA,2012,246000,1396,23.03
MARUTI ,2018,260000,796,16.8
HYUNDAI,2018,1050000,1396,21.38
TATA,2012,290000,1248,21.02
TATA,2013,310000,1396,25
HYUNDAI,2018,700000,1197,18.6
MARUTI ,2016,550000,1197,20.4
TATA,2017,450000,1405,19.09
HONDA ,2016,773000,1497,17.8
TATA,2017,450000,1199,23.84
MARUTI ,2019,409999,1196,15.37
MARUTI ,2003,45000,796,16.1
NISSAN ,2014,600000,2496,11.07
CHEVROLET ,2010,250000,1199,18.6
TATA,2008,70000,1405,16.8
HONDA ,2019,690000,1198,17.8
AUDI,2018,3975000,1968,17.01
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
JEEP,2017,4100000,3604,9.5
TOYOTA ,2018,1000000,1496,17.1
TOYOTA ,2018,1000000,1496,17.1
TOYOTA ,2016,2000000,2494,19.16
MARUTI ,2018,925000,1248,28.09
HONDA ,2016,550000,1199,18.2
MARUTI ,2018,430000,998,20.51
TOYOTA ,2013,750000,2494,12.99
HONDA ,2016,675000,1497,17.8
MARUTI ,2017,570000,1197,21.01
MARUTI ,2017,850000,1248,24.3
BMW ,2019,5400000,1995,16.78
BMW ,2019,5500000,1995,16.78
HONDA ,2019,779000,1199,19
FORD,2018,640000,1496,15.9
TATA,2013,250000,1405,19.09
RENAULT ,2018,1250000,1461,19.6
FORD,2017,889000,1497,17
HYUNDAI,2017,750000,1396,22.54
MARUTI ,2010,320000,1248,17.8
SKODA ,2011,600000,1968,17.67
MARUTI ,2018,1000000,1248,28.09
MARUTI ,2000,110000,993,17.3
HONDA ,2008,250000,1497,17.7
MARUTI ,2015,600000,1248,26.59
MARUTI ,2009,165000,998,19
MARUTI ,2004,118000,796,19.7
MARUTI ,2016,700000,1248,27.39
RENAULT ,2013,585000,1461,20.46
MARUTI ,2006,120000,796,19.7
MARUTI ,2003,65000,796,16.1
MARUTI ,2006,150000,796,19.7
MARUTI ,2009,150000,796,19.7
HYUNDAI,2004,170000,1493,13.1
MAHINDRA ,2006,250000,2179,10.5
HYUNDAI,2005,100000,1493,13.1
MARUTI ,2013,599000,1248,20.77
CHEVROLET ,2010,250000,1991,18.3
MARUTI ,2016,570000,1197,20.4
VOLKSWAGEN,2013,440000,1199,22.07
TOYOTA ,2005,300000,2494,11.4
NISSAN ,2015,300000,1198,19.34
MAHINDRA ,2011,500000,2179,11.79
MARUTI ,2016,660000,1248,26.59
FORD,2012,256000,1596,15.3
RENAULT ,2018,409999,999,23.01
TOYOTA ,2015,1888000,2982,12.55
HONDA ,2009,280000,1799,12.9
MAHINDRA ,2010,300000,2489,13
TATA,2016,900000,2179,14.1
MARUTI ,2014,190000,998,19
MAHINDRA ,2019,800000,2523,15.96
MAHINDRA ,2012,450000,2523,14
MAHINDRA ,2015,400000,2489,14.95
TATA,2009,150000,2179,13.93
TATA,2011,200000,1396,23.57
MAHINDRA ,2013,600000,2179,15.1
TATA,2010,175000,1248,18
TATA,2008,99000,1396,19.09
HYUNDAI,2008,215000,1197,20.36
RENAULT ,2013,520000,1461,19.01
FORD,2016,2280000,3198,10.91
TATA,2015,285000,1405,19.1
MAHINDRA ,2017,660000,1493,18.49
MARUTI ,2004,31504,796,16.1
MARUTI ,2015,515000,1197,20.85
NISSAN ,2012,295000,1461,21.64
NISSAN ,2015,700000,1461,20.45
MAHINDRA ,2017,1100000,2179,15.4
HYUNDAI,2017,300000,998,20.3
MARUTI ,2013,450000,1197,18.6
MARUTI ,2017,700000,1248,28.4
FORD,2012,250000,1399,20
MARUTI ,2009,140000,1061,18.9
MAHINDRA ,2012,250000,2498,14
HYUNDAI,2011,210000,1086,19.81
HONDA ,2014,420000,1498,25.8
MARUTI ,2007,130000,796,19.7
NISSAN ,2012,320000,1498,16.95
MARUTI ,2010,200000,1061,17.3
MARUTI ,2016,310000,796,22.74
MAHINDRA ,2012,200000,1461,20.8
MARUTI ,2014,350000,1197,18.5
HYUNDAI,2018,444000,814,21.1
DATSUN ,2017,300000,799,22.7
MAHINDRA ,2011,225000,1461,21
MAHINDRA ,2012,600000,2523,15.96
MARUTI ,2013,260000,1196,15.37
HYUNDAI,2015,375000,1120,24.4
MARUTI ,2013,260000,1196,15.37
MARUTI ,2010,150000,796,19.7
MARUTI ,2014,110000,796,19.7
MARUTI ,2012,225000,796,19.7
HONDA ,2017,860000,1497,17.8
MARUTI ,2018,650000,1248,28.4
MARUTI ,2014,650000,1248,20.77
HYUNDAI,2016,710000,1396,24.8
FORD,2017,430000,1498,25.83
MARUTI ,2011,305000,1248,17.8
FORD,2011,220000,1399,20
TATA,2010,150000,1948,14
MAHINDRA ,2017,660000,1493,18.49
CHEVROLET ,2011,140000,936,25.44
TOYOTA ,2015,1100000,1798,14.28
JAGUAR ,2013,2450000,2179,16.36
VOLKSWAGEN,2017,625000,1498,22
HONDA ,2004,198000,1493,12.8
MARUTI ,2005,130000,998,18.9
HONDA ,2012,540000,1497,16.8
HYUNDAI,2017,550000,1197,18.9
MARUTI ,2018,475000,998,21.63
AUDI,2017,2825000,1968,15.73
HONDA ,2020,2125000,1597,26.8
BMW ,2018,3350000,1998,19.62
TOYOTA ,2018,1800000,2755,11.36
HYUNDAI,2018,540000,1086,20.3
FORCE ,2018,910000,2596,17
MARUTI ,2019,484999,998,21.63
HYUNDAI,2020,1950000,1582,17.01
MARUTI ,2018,950000,1248,24.3
FORD,2015,365000,1498,25.83
MAHINDRA ,2018,900000,2498,16.55
TATA,2017,919999,1497,21.5
MG ,2020,1900000,1451,13.96
MERCEDES,2018,2950000,2148,15.8
MAHINDRA ,2019,1075000,1497,17.3
MARUTI ,2017,600000,1197,20.4
BMW ,2017,3200000,1995,22.69
SKODA ,2019,2600000,1968,19.3
MARUTI ,2016,839000,1248,24.3
VOLKSWAGEN,2019,635000,1199,16.2
MAHINDRA ,2014,550000,2179,12.05
MAHINDRA ,2011,180000,1461,19.2
HONDA ,2015,650000,1498,26
HONDA ,2011,350000,1198,16
MARUTI ,2015,265000,998,23.95
RENAULT ,2018,330000,999,23.01
MARUTI ,2019,395000,1196,15.37
MAHINDRA ,2015,700000,1493,18.49
FORD,2012,300000,1399,20
TOYOTA ,2011,650000,2494,12.8
MARUTI ,2013,625000,1248,20.77
VOLKSWAGEN,2014,425000,1598,15.11
MARUTI ,2004,55000,796,16.1
TATA,2015,250000,1405,19.09
MAHINDRA ,2015,459999,2523,15.96
TOYOTA ,2017,1594000,1364,21.43
CHEVROLET ,2014,300000,1199,18.2
FORD,2018,950000,1498,22.77
MAHINDRA ,2013,484999,2179,12.05
MAHINDRA ,2009,161000,2498,14
HYUNDAI,2015,500000,1197,17.19
NISSAN ,2012,350000,1498,16.95
MARUTI ,2017,550000,1197,20.89
HONDA ,2018,850000,1199,17.5
MARUTI ,2016,240000,796,22.74
FORD,2011,950000,2499,13.1
MARUTI ,2015,423000,1373,16.02
TATA,2005,90000,1396,12.8
TATA,2011,350000,2179,13.93
MARUTI ,2011,170000,998,19
FORD,2015,450000,1196,18.16
HYUNDAI,2009,150000,1197,20.36
HYUNDAI,2016,511000,1396,22.54
MARUTI ,2018,850000,1498,24.2
TATA,2018,250000,1396,25
MARUTI ,2020,420000,998,21.63
MARUTI ,2014,180000,796,22.74
MARUTI ,2015,400000,793,27.62
MAHINDRA ,2009,150000,2498,14
FORD,2016,500000,1498,25.83
JEEP,2017,1689999,1956,17.1
NISSAN ,2012,204999,1461,23.08
MARUTI ,2014,459999,1248,26.21
HYUNDAI,2017,600000,1197,18.6
HYUNDAI,2019,585000,1197,18.9
FORD,2012,551000,2499,13.1
MARUTI ,2013,525000,1248,23.4
MARUTI ,2012,160000,796,14
MAHINDRA ,2014,825000,2179,15.1
CHEVROLET ,2015,600000,2499,13.58
MARUTI ,2002,65000,993,17.3
MARUTI ,2013,550000,1248,23.4
MAHINDRA ,2015,650000,2523,15.96
MARUTI ,2019,750000,1248,28.4
MAHINDRA ,2017,380000,1198,25.32
HYUNDAI,2012,400000,1582,22.32
MARUTI ,2003,50000,998,18.9
MAHINDRA ,2017,750000,1493,18.49
CHEVROLET ,2011,150000,995,18
MARUTI ,2016,245000,796,22.74
TATA,2013,260000,1248,21.02
VOLKSWAGEN,2014,411000,1498,21.21
HYUNDAI,2014,450000,1396,21.9
BMW ,2012,1300000,1995,18.88
MARUTI ,2016,351000,998,23.1
MAHINDRA ,2012,550000,2179,15.1
BMW ,2013,1300000,1995,18.88
TATA,2013,260000,1248,21.02
VOLKSWAGEN,2014,411000,1498,21.21
HYUNDAI,2014,450000,1396,21.9
BMW ,2012,1300000,1995,18.88
MARUTI ,2016,351000,998,23.1
MAHINDRA ,2012,550000,2179,15.1
BMW ,2013,1300000,1995,18.88
NISSAN ,2016,750000,1461,20.45
NISSAN ,2015,800000,1461,20.45
TATA,2011,350000,2179,11.57
MARUTI ,2013,200000,796,22.74
TATA,2008,150000,1405,17
NISSAN ,2016,800000,1461,19.01
HYUNDAI,2017,350000,814,21.1
TATA,2011,350000,2179,13.93
MAHINDRA ,2006,250000,2609,12.7
TATA,2010,170000,1405,17
RENAULT ,2018,395000,799,25.17
MAHINDRA ,2012,450000,2523,15.96
MARUTI ,2019,500000,1197,20.89
TATA,2012,200000,1948,12.2
TATA,2017,1200000,2179,17.6
MAHINDRA ,2016,400000,1198,25.32
MAHINDRA ,2016,650000,1493,18.49
MAHINDRA ,2016,550000,2523,15.96
MAHINDRA ,2015,1100000,2179,16
MARUTI ,2012,254999,796,22.74
MARUTI ,2011,180000,796,19.7
MAHINDRA ,2010,160000,2489,13
CHEVROLET ,2008,225000,1991,16.52
MARUTI ,2015,270000,796,22.74
TATA,2012,310000,1248,21.12
DATSUN ,2015,225000,1198,20.63
FIAT,2015,300000,1248,21.2
MARUTI ,2008,250000,1298,17.5
HYUNDAI,2011,180000,814,21.1
MARUTI ,2015,550000,1197,20.85
MAHINDRA ,2007,300000,2523,13.6
HYUNDAI,2015,900000,1582,22.7
MAHINDRA ,2018,1530000,2179,16
MARUTI ,2015,590000,1248,27.39
AUDI,2017,2600000,1968,20.38
MARUTI ,2016,475000,1248,23.2
HYUNDAI,2018,700000,1186,24
MARUTI ,2011,376000,998,18.9
MARUTI ,2004,75000,796,16.1
MAHINDRA ,2012,440000,2179,11.79
MARUTI ,2016,390000,998,20.51
TOYOTA ,2012,725000,2494,12.8
MAHINDRA ,2012,325000,2523,15.96
MARUTI ,2010,170000,796,19.7
MARUTI ,2010,215000,1248,19.3
HONDA ,2010,350000,1497,17
CHEVROLET ,2009,80000,995,18
HYUNDAI,2012,195000,814,21.1
NISSAN ,2014,335000,1461,21.64
MAHINDRA ,2011,475000,2179,16
RENAULT ,2015,484999,1461,19.87
MARUTI ,2018,650000,1462,21.56
AUDI,2014,1850000,2967,13.22
HYUNDAI,2018,700000,1197,18.6
AUDI,2014,3000000,2967,12.07
MAHINDRA ,2018,900000,2523,15.4
VOLKSWAGEN,2013,350000,1199,22.07
HONDA ,2005,285000,2997,9
AUDI,2012,1850000,2967,12.07
MARUTI ,2017,750000,1248,24.3
LAND ROVE,2013,1650000,2179,0
HONDA ,2018,600000,1199,19.5
VOLKSWAGEN,2018,565000,999,18.78
DAEWOO ,2000,86000,796,18.5
DATSUN ,2016,329000,1198,20.63
FORD,2016,650000,1498,22.77
HYUNDAI,2015,822000,1582,19.67
RENAULT ,2013,345000,1461,19.01
MARUTI ,2001,30000,993,17.3
MARUTI ,2012,330000,1248,22.9
MARUTI ,2014,300000,998,20.51
MARUTI ,2009,200000,1586,12.6
CHEVROLET ,2010,90000,995,18
MARUTI ,2010,200000,1061,18.9
HYUNDAI,2016,550000,1120,24.4
CHEVROLET ,2015,250000,1199,18.6
HONDA ,2017,975000,1498,25.6
TOYOTA ,2014,900000,2494,12.99
HYUNDAI,2018,610000,1197,18.6
MARUTI ,2017,620000,1248,27.39
HYUNDAI,2016,400000,1197,18.9
MARUTI ,2019,500000,998,21.63
DATSUN ,2017,200000,1198,19.02
TATA,2016,360000,1248,23
MARUTI ,2012,252000,998,20.92
MARUTI ,2012,280000,1248,22.9
MARUTI ,2018,509999,1197,22
MAHINDRA ,2016,1050000,1997,15.4
MARUTI ,2005,60000,993,17.3
MAHINDRA ,2010,320000,2498,14
MAHINDRA ,2013,520000,2179,12.05
TATA,2007,250000,2179,11.57
MARUTI ,2017,725000,1248,24.3
MAHINDRA ,2015,585000,2523,15.96
TATA,2017,430000,1199,23.84
MARUTI ,2011,235000,1248,22.9
MARUTI ,2012,350000,1248,19.3
HYUNDAI,2010,131000,1086,19.81
HONDA ,2016,450000,1498,25.8
MARUTI ,2016,750000,1248,24.3
MARUTI ,2013,200000,796,22.74
MARUTI ,2009,125000,1061,18.9
MAHINDRA ,2014,500000,2523,15.96
MARUTI ,2012,380000,1248,22.9
MARUTI ,2008,128000,796,19.7
HONDA ,2009,250000,1497,17
MAHINDRA ,2017,690000,1493,16.5
MAHINDRA ,2014,650000,2523,15.96
HONDA ,2012,560000,1497,16.8
MARUTI ,2016,400000,998,23.1
MARUTI ,2012,200000,998,20.92
HYUNDAI,2018,950000,1591,17
MARUTI ,2016,300000,796,22.74
RENAULT ,2016,315000,799,25.17
MARUTI ,2012,220000,796,22.74
CHEVROLET ,2011,130000,1399,14.49
HYUNDAI,2016,595000,1396,22.54
TATA,2011,110000,1405,19.4
FORD,2017,680000,1497,17
FIAT,2013,280000,1248,20.3
MARUTI ,2017,530000,1197,21.4
HYUNDAI,2017,610000,1197,19.1
TATA,2014,500000,2179,15.05
TATA,2018,500000,1047,24.7
MAHINDRA ,2010,250000,2489,13
HYUNDAI,2018,325000,814,21.1
MARUTI ,2018,550000,1197,21.4
MARUTI ,2018,720000,1373,20.73
HYUNDAI,2017,950000,1591,17
MARUTI ,2013,350000,1248,22.9
HYUNDAI,2018,500000,1197,18.9
MARUTI ,2012,380000,1248,19.3
HYUNDAI,2015,380000,1197,16.9
HYUNDAI,2017,900000,1591,17
MARUTI ,2017,295000,796,24.7
MARUTI ,2016,640000,1248,28.09
TATA,2018,790000,1497,21.5
HYUNDAI,2015,625000,1591,17.01
FORD,2017,604000,1497,17
MARUTI ,2015,315000,998,23.95
MAHINDRA ,2019,950000,1497,20
MARUTI ,2017,400000,998,20.51
HYUNDAI,2018,700000,1368,18.6
TOYOTA ,2011,700000,2494,12.8
MAHINDRA ,2012,260000,1461,21.03
TATA,2012,200000,1396,23.57
MARUTI ,2020,580000,1197,23.26
VOLKSWAGEN,2011,330000,1598,20.5
HYUNDAI,2011,400000,1493,16.2
HYUNDAI,2018,1350000,1591,14.8
MAHINDRA ,2014,250000,1461,21.03
SKODA ,2019,725000,1598,15.41
MARUTI ,2013,300000,1248,23.4
MARUTI ,2006,120000,796,16.1
MAHINDRA ,2016,1175000,2179,16
TATA,2009,380000,2179,13.93
TATA,2014,400000,1405,19.1
TATA,2005,140000,1405,16.1
TATA,2011,229999,2179,11.57
FORD,2003,110000,1299,13.8
VOLKSWAGEN,2011,550000,1968,16.96
CHEVROLET ,2008,150000,1150,15.26
MARUTI ,2017,265000,796,16.8
HYUNDAI,2011,300000,1197,17
MARUTI ,2015,280000,796,22.74
HYUNDAI,2005,130000,1341,15.3
CHEVROLET ,2015,350000,1199,18.2
MARUTI ,2009,200000,1197,18.5
MARUTI ,2018,550000,1197,22
MAHINDRA ,2013,400000,2523,15.96
MARUTI ,2010,170000,1197,18.5
HYUNDAI,2015,600000,1396,24.8
MARUTI ,2011,130000,796,19.7
MARUTI ,2011,100000,796,16.1
RENAULT ,2016,310000,799,25.17
MARUTI ,2007,35000,796,16.1
HYUNDAI,2010,200000,1197,18.5
HYUNDAI,2015,650000,1396,22.54
TATA,2013,210000,1193,15.64
HYUNDAI,2015,509999,1120,24.4
FORD,2013,229999,1399,20
RENAULT ,2014,409999,1461,19.01
CHEVROLET ,2011,130000,995,18
TATA,2013,95000,624,25.4
MARUTI ,2016,225000,796,22.74
MARUTI ,2017,775000,1248,24.3
MARUTI ,2017,420000,998,20.51
HYUNDAI,2016,480000,1197,18.9
MAHINDRA ,2010,260000,2523,13.6
VOLKSWAGEN,2018,600000,1199,16.2
FORD,2009,140000,1399,13.8
MARUTI ,2010,130000,796,19.7
MARUTI ,2007,195000,1248,25.2
TATA,2013,210000,1405,19.4
MARUTI ,2006,130000,998,18.9
CHEVROLET ,2012,141000,1199,18.6
MAHINDRA ,2011,280000,2523,13.6
MARUTI ,2010,350000,1586,12.6
TATA,2018,575000,1198,17
HYUNDAI,2015,550000,1197,18.6
MARUTI ,2006,120000,796,19.7
MARUTI ,2015,320000,998,23.95
HYUNDAI,2011,250000,1495,16.36
MARUTI ,2010,300000,1586,15
MARUTI ,2006,250000,998,18.9
MAHINDRA ,2018,750000,1493,16.5
MAHINDRA ,2005,151000,2179,10.5
TATA,2011,300000,2179,13.93
MARUTI ,2019,577000,1197,20.89
MARUTI ,2012,229999,998,20.92
MAHINDRA ,2013,500000,2523,15.96
HONDA ,2019,840000,1199,18.2
VOLKSWAGEN,2017,900000,1498,22.27
HONDA ,2017,650000,1199,18.7
HONDA ,2016,650000,1498,27.3
HYUNDAI,2016,250000,814,21.1
VOLKSWAGEN,2016,550000,1498,20.14
MARUTI ,2007,250000,1248,17.8
MAHINDRA ,2013,350000,1493,17.21
CHEVROLET ,2014,185000,936,25.44
FORD,2010,229999,1196,15.6
TOYOTA ,2016,1000000,2494,12.99
MARUTI ,2019,490000,1197,20.52
HYUNDAI,2009,150000,1197,20.36
MARUTI ,2013,600000,1248,20.77
MARUTI ,2005,60000,993,17.3
MARUTI ,2008,150000,1586,15.6
HONDA ,2014,335000,1198,19.4
MARUTI ,2013,525000,1248,22.9
HYUNDAI,2015,465000,1197,18.9
TATA,2012,83000,1396,25
HYUNDAI,2017,300000,814,21.1
HYUNDAI,2012,350000,1197,17
HYUNDAI,2011,300000,1197,17
FIAT,2011,250000,1248,20.4
MARUTI ,2006,114999,796,16.1
MARUTI ,2018,700000,1462,19.34
MARUTI ,2020,250000,998,21.63
MARUTI ,2016,350000,998,20.51
MARUTI ,1998,80000,796,14
MAHINDRA ,2017,850000,2523,15.4
CHEVROLET ,2007,90000,995,18
CHEVROLET ,2014,600000,2499,13.58
MARUTI ,2007,135000,796,19.7
HYUNDAI,2005,150000,1495,13.2
TATA,2012,259000,1396,23.03
TATA,2012,220000,1396,23.03
TATA,2012,246000,1396,23.03
MARUTI ,2009,240000,1298,17.5
